pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
92.86875,-94.2975,90.0,bottom,D1,,,Diode_DO-35,~,tht
111.91875,-132.3975,90.0,bottom,D10,,,Diode_DO-35,~,tht
130.84,-132.47,90.0,bottom,D11,,,Diode_DO-35,~,tht
150.13,-132.42,90.0,bottom,D12,,,Diode_DO-35,~,tht
111.91875,-94.2975,90.0,bottom,D2,,,Diode_DO-35,~,tht
129.87,-100.45,180.0,bottom,D3,,,Diode_DO-35,~,tht
130.88,-92.73,90.0,top,D4,,,Diode_DO-35,~,tht
92.86875,-113.3475,90.0,bottom,D5,,,Diode_DO-35,~,tht
111.91875,-113.3475,90.0,bottom,D6,,,Diode_DO-35,~,tht
130.96875,-113.3475,90.0,bottom,D7,,,Diode_DO-35,~,tht
150.01875,-113.3475,90.0,bottom,D8,,,Diode_DO-35,~,tht
92.85,-132.06,90.0,bottom,D9,,,Diode_DO-35,~,tht
82.95,-90.95,0.0,top,S1,,,Choc_V1V2_1.00u,~,tht
102.235,-128.905,0.0,top,S10,,,Choc_V1V2_1.00u,~,tht
121.285,-128.905,0.0,top,S11,,,Choc_V1V2_1.00u,~,tht
140.6,-128.74,0.0,top,S12,,,Choc_V1V2_1.00u,~,tht
102.235,-90.805,0.0,top,S2,,,Choc_V1V2_1.00u,~,tht
121.285,-90.805,0.0,top,S3,,,Choc_V1V2_1.00u,~,tht
141.61,-90.7,0.0,top,S4,,,Choc_V1V2_1.00u,~,tht
83.185,-109.855,0.0,top,S5,,,Choc_V1V2_1.00u,~,tht
102.235,-109.855,0.0,top,S6,,,Choc_V1V2_1.00u,~,tht
121.285,-109.855,0.0,top,S7,,,Choc_V1V2_1.00u,~,tht
140.335,-109.855,0.0,top,S8,,,Choc_V1V2_1.00u,~,tht
83.185,-128.905,0.0,top,S9,,,Choc_V1V2_1.00u,~,tht
142.0625,-89.22,0.0,bottom,U1,,,Seeed_XIAO_RP2040,MCU_Seeed_XIAO_RP2040,tht
